Feature ID	Taxon
a0226_CP005934.1_mcrA_product_or_note_1_Candidatus_Methanomassiliicoccus_intestinalis	d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Candidatus Methanomassiliicoccus intestinalis
a0249_CP010070.1_mcrA_gene_1_Candidatus_Methanoplasma_termitum	d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Candidatus Methanoplasma;s__Candidatus Methanoplasma termitum
a0159_BAAHFC010000003.1_mcrA_gene_1_Methanothermobacter_thermautotrophicus	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanothermobacter (mrtA);s__Methanothermobacter thermautotrophicus (mrtA)
a0205_CP002117.1_mcrA_product_or_note_1_Methanolacinia_petrolearia	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanolacinia;s__Methanolacinia petrolearia
a0900_NZ_JAGSOI010000005.1_mcrA_gene_1_Methanococcoides_seepicolus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides seepicolus
a1206_NZ_VHLL01000001.1_mcrA_gene_1_Methanoculleus_formosensis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus formosensis
a0292_CP075546.1_mcrA_gene_1_Methanospirillum_purgamenti	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum purgamenti
a0762_NZ_CAYAYR010000042.1_mcrA_gene_1_Methanobrevibacter_smithii	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobrevibacter (mrtA);s__Methanobrevibacter smithii (mrtA)
a0385_FNFT01000004.1_mcrA_product_or_note_1_Methanoculleus_thermophilus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus thermophilus
a0127_AP042463.1_mcrA_gene_1_Methanosarcina_baltica	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina baltica
a0035_AB542752.1_mcrA_Methanobacterium_oryzae	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium oryzae
a0339_CP176366.1_mcrA_gene_1_Methanospirillum_stamsii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum stamsii
a1141_NZ_JBVVKT010000072.1_mcrA_gene_1_Methanobacterium_formicicum	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium formicicum
a0300_CP096115.1_mcrA_gene_1_Methanoplanus_endosymbiosus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoplanus;s__Methanoplanus endosymbiosus
a0006_AB300778.1_mcrA_Methanosarcina_mazei	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei
a0514_LNGD01000052.1_mcrA_gene_1_Candidatus_Methanofastidiosum_methylothiophilum	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Candidatus Methanofastidiosia;o__Candidatus Methanofastidiosales;f__Candidatus Methanofastidiosaceae;g__Candidatus Methanofastidiosum;s__Candidatus Methanofastidiosum methylothiophilum
a0022_AB353228.1_mcrA_Methanotorris_igneus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanotorris;s__Methanotorris igneus
a0630_NZ_BCNW01000001.1_mcrA_gene_2_Methanofollis_ethanolicus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanofollis;s__Methanofollis ethanolicus
a0863_NZ_JACDUL010000001.1_mcrA_gene_1_Methanococcus_maripaludis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis
a1264_QENL01000372.1_mcrA_product_or_note_1_Candidatus_Methanophagaceae_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Candidatus Methanophagales;f__Candidatus Methanophagaceae;g__Candidatus Methanophagaceae incertae sedis;s__Candidatus Methanophagaceae archaeon
a0596_NJEM01000011.1_mcrA_product_or_note_1_Candidatus_Methanophagaceae_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Candidatus Methanophagales;f__Candidatus Methanophagaceae;g__Candidatus Methanophagaceae incertae sedis;s__Candidatus Methanophagaceae archaeon
a1259_QBUP01000134.1_mcrA_gene_1_Candidatus_Methanophagaceae_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Candidatus Methanophagales;f__Candidatus Methanophagaceae;g__Candidatus Methanophagaceae incertae sedis;s__Candidatus Methanophagaceae archaeon
a0474_KP109831.1_mcrA_Methanomethylovorans_thermophila	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanomethylovorans;s__Methanomethylovorans thermophila
a1115_NZ_JBNGCU010000096.1_mcrA_gene_1_Methanocrinis_sp.	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanocrinis;s__Methanocrinis sp.
a0151_AY354034.1_mcrA_Methanococcus_aeolicus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus aeolicus
a0319_CP137641.1_mcrA_gene_1_Methanoculleus_palmolei	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus palmolei
a0175_CM001555.1_mcrA_product_or_note_1_Methanofollis_liminatans	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanofollis;s__Methanofollis liminatans
a0336_CP166991.1_mcrA_gene_1_Methanobrevibacter_acididurans	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter acididurans
a0402_HE964772.2_mcrA_gene_2_Methanoculleus_bourgensis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus bourgensis
a0436_KF153053.1_mcrA_Methanospirillum_psychrodurum	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__Methanospirillum;s__Methanospirillum psychrodurum
a0141_AY289749.1_mrtA_Methanothermobacter_wolfeii	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanothermobacter (mrtA);s__Methanothermobacter wolfeii (mrtA)
a0030_AB542746.1_mcrA_Methanobacterium_alcaliphilum	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium alcaliphilum
a0009_AB300781.1_mcrA_Methanosarcina_mazei	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei
a1287_RXIF01000002.1_mcrA_gene_1_Candidatus_Methanoliparum_thermophilum	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Candidatus Methanoliparia;o__Candidatus Methanoliparales;f__Candidatus Methanoliparaceae;g__Candidatus Methanoliparum;s__Candidatus Methanoliparum thermophilum
a1190_NZ_QREL01000001.1_mcrA_gene_1_Methanothermobacter_defluvii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter defluvii
a0357_CP195120.1_mcrA_gene_1_Methanosarcina_mangrovi	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mangrovi
a0011_AB300783.1_mcrA_Methanoculleus_thermophilus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus thermophilus
a0105_AM114193.2_mcrA_gene_1_Methanocella_arvoryzae	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__Methanocella arvoryzae
a1207_NZ_VHLL01000001.1_mcrA_gene_2_Methanoculleus_formosensis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus formosensis
a0288_CP064324.1_mcrA_gene_2_Methanothermobacter_thermautotrophicus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter thermautotrophicus
a0008_AB300780.1_mcrA_Methanothermobacter_wolfeii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter wolfeii
a1072_NZ_JBEQWH010000008.1_mcrA_gene_1_Candidatus_Methanoprimaticola_sp.	d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Candidatus Methanoprimaticola;s__Candidatus Methanoprimaticola sp.
a0407_JMIY01000002.1_mcrA_product_or_note_1_Candidatus_Methanoperedens_nitroreducens	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__Candidatus Methanoperedentaceae;s__Candidatus Methanoperedens nitroreducens
a0291_CP073710.1_mcrA_gene_1_Methanococcoides_orientis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides orientis
a0710_NZ_CAUHNE010000002.1_mcrA_gene_1_Methanobrevibacter_woesei	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter woesei
a1246_PIXV01000147.1_mcrA_product_or_note_1_Candidatus_Methanophagales_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Candidatus Methanophagales;f__Candidatus Methanophagales incertae sedis;g__Candidatus Methanophagales incertae sedis;s__Candidatus Methanophagales archaeon
a0482_KY368727.1_mcrA_Methanosarcina_mazei	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei
a0064_AB703642.1_mcrA_Methanoplanus_limicola	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoplanus;s__Methanoplanus limicola
a0316_CP133592.1_mcrA_gene_1_Methanolobus_sediminis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus sediminis
a0283_CP047880.1_mcrA_gene_1_Methanomassiliicoccaceae_archaeon	d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccaceae incertae sedis;s__Methanomassiliicoccaceae archaeon
a0505_LKCM01000102.1_mcrA_gene_1_Candidatus_Methanoperedens_nitroreducens	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__Candidatus Methanoperedentaceae;s__Candidatus Methanoperedens nitroreducens
a0939_NZ_JALKIF010000022.1_mcrA_gene_1_Methanobacterium_alcaliphilum	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobacterium (mrtA);s__Methanobacterium alcaliphilum (mrtA)
a0119_AP042378.1_mcrA_gene_2_Methanobacterium_movilense	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobacterium (mrtA);s__Methanobacterium movilense (mrtA)
a1118_NZ_JBNPXC010000002.1_mcrA_gene_1_Methanobacterium_oryzae	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobacterium (mrtA);s__Methanobacterium oryzae (mrtA)
a0535_LWMV01000094.1_mcrA_product_or_note_1_Methanobrevibacter_curvatus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter curvatus
a0394_GQ339872.1_mcrA_Thermoplasmata_archaeon	d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmata incertae sedis;f__Thermoplasmata incertae sedis;g__Thermoplasmata incertae sedis;s__Thermoplasmata archaeon
a0118_AP042378.1_mcrA_gene_1_Methanobacterium_movilense	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium movilense
a0017_AB353222.1_mcrA_Methanogenium_organophilum	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanogenium;s__Methanogenium organophilum
a1266_QMVH01000246.1_mcrA_gene_1_ANME-2_cluster_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__ANME-2 cluster;s__ANME-2 cluster archaeon
a0703_NZ_CANQEZ010000003.1_mcrA_gene_1_Methanosphaera_cuniculi	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanosphaera (mrtA);s__Methanosphaera cuniculi (mrtA)
a1203_NZ_VCYH01000006.1_mcrA_gene_1_Methanoculleus_frigidifontis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus frigidifontis
a0348_CP186953.1_mcrA_gene_1_Candidatus_Methanosuratincola_verstraetei	d__Archaea;k__Thermoproteati;p__Thermoproteota;c__Methanosuratincolia;o__Methanosuratincolales;f__Methanosuratincolaceae;g__Methanosuratincola;s__Candidatus Methanosuratincola verstraetei
a0194_CP001710.1_mcrA_gene_1_Methanothermobacter_marburgensis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter marburgensis
a0591_MZXQ01000116.1_mcrA_gene_1_Candidatus_Methanocomedenaceae_sp.	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__Candidatus Methanocomedenaceae;s__Candidatus Methanocomedenaceae sp.
a1235_PGYG01000037.1_mcrA_gene_1_Candidatus_Methanoperedentaceae_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__Candidatus Methanoperedentaceae;s__Candidatus Methanoperedentaceae archaeon
a0073_AB889606.1_mcrA_Methanohalophilus_levihalophilus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus levihalophilus
a0190_CP000742.1_mcrA_product_or_note_1_Methanococcus_vannielii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus vannielii
a0477_KR337561.1_mcrA_ANME-2_cluster_archaeon	d__Archaea;k__Archaea;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__ANME-2 cluster;s__ANME-2 cluster archaeon
a1261_QENH01000178.1_mcrA_product_or_note_1_Candidatus_Methanophagales_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Candidatus Methanophagales;f__Candidatus Methanophagales incertae sedis;g__Candidatus Methanophagales incertae sedis;s__Candidatus Methanophagales archaeon
a0592_NGJK01000016.1_mcrA_product_or_note_1_Methanosphaera_stadtmanae	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanosphaera (mrtA);s__Methanosphaera stadtmanae (mrtA)
a0061_AB703639.1_mrtA_Methanothermobacter_wolfeii	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanothermobacter (mrtA);s__Methanothermobacter wolfeii (mrtA)
a0856_NZ_JABXWR010000001.1_mcrA_gene_2_Methanofollis_tationis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanofollis;s__Methanofollis tationis
a0337_CP170508.1_mcrA_gene_1_Methanosphaerula_subterraneus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanosphaerula;s__Methanosphaerula subterraneus
a1059_NZ_JBCEYP010000019.1_mcrA_gene_1_Methanothrix_soehngenii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix soehngenii
a0694_NZ_CALZFF010000011.1_mcrA_gene_1_Methanobrevibacter_gottschalkii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter gottschalkii
a0381_FMXB01000003.1_mcrA_product_or_note_1_Methanobrevibacter_millerae	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobrevibacter (mrtA);s__Methanobrevibacter millerae (mrtA)
a0177_CM132777.1_mcrA_gene_1_Candidatus_Methanodesulfokora_washburnensis	d__Archaea;k__Thermoproteota;p__Candidatus Korarchaeia;c__Candidatus Korarchaeia incertae sedis;o__Candidatus Korarchaeia incertae sedis;f__Candidatus Korarchaeia incertae sedis;g__Candidatus Methanodesulfokora;s__Candidatus Methanodesulfokora washburnensis
a0887_NZ_JAGGKD010000005.1_mcrA_gene_1_Methanolobus_bombayensis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus bombayensis
a0003_AB300466.1_mcrA_Methanolinea_tarda	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanoregulaceae;g__Methanolinea;s__Methanolinea tarda
a0236_CP009506.1_mcrA_product_or_note_1_Methanosarcina_siciliae	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina siciliae
a1181_NZ_PGGK01000001.1_mcrA_gene_1_Methanolobus_halotolerans	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanolobus;s__Methanolobus halotolerans
a0183_CP000559.1_mcrA_product_or_note_1_Methanocorpusculum_labreanum	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__Methanocorpusculum labreanum
a0615_NZ_AP027738.1_mcrA_gene_1_Methanobacterium_ferruginis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium ferruginis
a0221_CP003243.1_mcrA_gene_1_Methanocella_conradii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanocellales;f__Methanocellaceae;g__Methanocella;s__Methanocella conradii
a0162_BAAHXG010000001.1_mcrA_gene_2_Methanobacterium_movens	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobacterium (mrtA);s__Methanobacterium movens (mrtA)
a0403_HM802934.1_mcrA_Methanobacterium_movens	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium movens
a0225_CP004144.1_mcrA_product_or_note_1_Methanosarcina_mazei	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina mazei
a0172_CAJPFJ010000071.1_mcrA_gene_1_ANME-2_cluster_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__ANME-2 cluster;s__ANME-2 cluster archaeon
a0140_AY289748.1_mcrA_Methanothermobacter_wolfeii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter wolfeii
a0499_LIHJ01000018.1_mcrA_gene_1_Candidatus_Bathyarchaeota_archaeon	d__Archaea;k__Candidatus Bathyarchaeota;p__Candidatus Bathyarchaeota incertae sedis;c__Candidatus Bathyarchaeota incertae sedis;o__Candidatus Bathyarchaeota incertae sedis;f__Candidatus Bathyarchaeota incertae sedis;g__Candidatus Bathyarchaeota incertae sedis;s__Candidatus Bathyarchaeota archaeon
a0170_CAJHIS010000066.1_mcrA_gene_1_Candidatus_Argoarchaeum_ethanivorans	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__GOM Arc I cluster;g__Candidatus Argoarchaeum;s__Candidatus Argoarchaeum ethanivorans
a0232_CP009502.1_mcrA_product_or_note_1_Methanosarcina_thermophila	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina thermophila
a0950_NZ_JAPTGB010000010.1_mcrA_gene_1_Methanocorpusculum_petauri	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanocorpusculum;s__Methanocorpusculum petauri
a0314_CP122958.1_mcrA_gene_1_Methanonatronarchaeum_sp.	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanonatronarchaeia;o__Methanonatronarchaeales;f__Methanonatronarchaeaceae;g__Methanonatronarchaeum;s__Methanonatronarchaeum sp.
a0029_AB542744.1_mcrA_Methanobacterium_petrolearium	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium petrolearium
a0356_CP195119.1_mcrA_gene_1_Methanosarcina_sediminis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina sediminis
a0892_NZ_JAGGLN010000004.1_mcrA_gene_1_Methanobacterium_aggregans	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium aggregans
a0074_AB908273.1_mcrA_Methanohalophilus_portucalensis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus portucalensis
a0195_CP001710.1_mrtA_gene_1_Methanothermobacter_marburgensis	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanothermobacter (mrtA);s__Methanothermobacter marburgensis (mrtA)
a0102_AF414051.1_mrtA_Methanobacterium_formicicum	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobacterium (mrtA);s__Methanobacterium formicicum (mrtA)
a0230_CP009149.1_mcrA_product_or_note_1_Methanocaldococcus_bathoardescens	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanococci (mrtA);o__Methanococcales (mrtA);f__Methanocaldococcaceae (mrtA);g__Methanocaldococcus (mrtA);s__Methanocaldococcus bathoardescens (mrtA)
a0287_CP064324.1_mcrA_gene_1_Methanothermobacter_thermautotrophicus	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanothermobacter (mrtA);s__Methanothermobacter thermautotrophicus (mrtA)
