Feature ID	Taxon
a0113_AP017646.1_mcrA_product_or_note_1_Methanosarcina_thermophila	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina thermophila
a0497_LGHE01000148.1_mcrA_product_or_note_1_Methanoculleus_marisnigri	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus marisnigri
a0246_CP009520.1_mcrA_product_or_note_1_Methanosarcina_vacuolata	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina vacuolata
a0506_LMVM01000001.1_mcrA_product_or_note_1_Methanobacterium_bryantii	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobacterium (mrtA);s__Methanobacterium bryantii (mrtA)
a0392_FR745248.1_mcrA_Methanoplanus_limicola	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoplanus;s__Methanoplanus limicola
a1276_QNVE01000024.1_mcrA_gene_1_Candidatus_Nezhaarchaeota_archaeon	d__Archaea;k__Candidatus Nezhaarchaeota;p__Candidatus Nezhaarchaeota incertae sedis;c__Candidatus Nezhaarchaeota incertae sedis;o__Candidatus Nezhaarchaeota incertae sedis;f__Candidatus Nezhaarchaeota incertae sedis;g__Candidatus Nezhaarchaeota incertae sedis;s__Candidatus Nezhaarchaeota archaeon
a0007_AB300779.1_mcrA_Methanoculleus_chikugoensis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus chikugoensis
a0432_KC865050.1_mcrA_Methanobrevibacter_boviskoreani	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter boviskoreani
a1177_NZ_OBDR01000004.1_mcrA_gene_1_Methanohalophilus_euhalobius	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanohalophilus;s__Methanohalophilus euhalobius
a1199_NZ_SUTE01000082.1_mcrA_gene_1_Methanobrevibacter_millerae	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobrevibacter (mrtA);s__Methanobrevibacter millerae (mrtA)
a1258_PYCL02000282.1_mcrA_gene_1_ANME-2_cluster_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__ANME-2 cluster;s__ANME-2 cluster archaeon
a1286_RXIE01000134.1_mcrA_product_or_note_1_Candidatus_Methanophagales_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Candidatus Methanophagales;f__Candidatus Methanophagales incertae sedis;g__Candidatus Methanophagales incertae sedis;s__Candidatus Methanophagales archaeon
a0254_CP014214.1_mcrA_product_or_note_1_Thermoplasmata_archaeon	d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmata incertae sedis;f__Thermoplasmata incertae sedis;g__Thermoplasmata incertae sedis;s__Thermoplasmata archaeon
a0174_CM001436.1_mcrA_product_or_note_1_Methanoplanus_limicola	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoplanus;s__Methanoplanus limicola
a0526_LVVP01000002.1_mcrA_product_or_note_1_Methanomethylophilus_alvi	d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus alvi
a1279_QYPO01000102.1_mcrA_gene_1_ANME-2_cluster_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__ANME-2 cluster;s__ANME-2 cluster archaeon
a0992_NZ_JAWDKA010000006.1_mcrA_gene_1_Methanorbis_furvi	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanocorpusculaceae;g__Methanorbis;s__Methanorbis furvi
a1188_NZ_QKOF01000006.1_mcrA_gene_2_Methanothermobacter_thermautotrophicus	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanothermobacter (mrtA);s__Methanothermobacter thermautotrophicus (mrtA)
a0124_AP042398.1_mcrA_gene_1_Methanobacterium_flexile	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium flexile
a0343_CP178160.1_mcrA_gene_1_Methanococcus_voltae	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus voltae
a0290_CP064337.1_mcrA_gene_2_Methanothermobacter_thermautotrophicus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter thermautotrophicus
a0389_FOHQ01000007.1_mcrA_product_or_note_1_Methanococcoides_vulcani	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanococcoides;s__Methanococcoides vulcani
a0780_NZ_CDLSFT010000015.1_mcrA_gene_1_Methanothermobacter_tenebrarum	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter tenebrarum
a1003_NZ_JAXOFW010000001.1_mcrA_gene_1_Methanothermobacter_marburgensis	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanothermobacter (mrtA);s__Methanothermobacter marburgensis (mrtA)
a0038_AB542757.1_mrtA_Methanobacterium_espanolae	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobacterium (mrtA);s__Methanobacterium espanolae (mrtA)
a0330_CP157522.1_mcrA_gene_2_Methanothermococcus_jasoni	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanococci (mrtA);o__Methanococcales (mrtA);f__Methanococcaceae (mrtA);g__Methanothermococcus (mrtA);s__Methanothermococcus jasoni (mrtA)
a0306_CP109831.1_mcrA_gene_2_Methanoculleus_submarinus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus submarinus
a0745_NZ_CAYAVO010000005.1_mcrA_gene_1_Candidatus_Methanomassiliicoccus_intestinalis	d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Methanomassiliicoccus;s__Candidatus Methanomassiliicoccus intestinalis
a0128_AP042467.1_mcrA_gene_1_Methanothermus_sociabilis	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanothermaceae (mrtA);g__Methanothermus (mrtA);s__Methanothermus sociabilis (mrtA)
a0071_AB842183.1_mcrA_Methanobacterium_alcaliphilum	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium alcaliphilum
a0478_KR337562.1_mcrA_ANME-2_cluster_archaeon	d__Archaea;k__Archaea;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__ANME-2 cluster;s__ANME-2 cluster archaeon
a0731_NZ_CAYASX010000037.1_mcrA_gene_1_Methanobrevibacter_smithii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii
a0595_NJEL02000005.1_mcrA_product_or_note_1_GOM_Arc_I_cluster_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__GOM Arc I cluster;g__GOM Arc I cluster;s__GOM Arc I cluster archaeon
a1201_NZ_SUTK01000046.1_mcrA_gene_1_Methanobrevibacter_thaueri	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobrevibacter (mrtA);s__Methanobrevibacter thaueri (mrtA)
a0069_AB842181.1_mcrA_Methanothermobacter_marburgensis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanothermobacter;s__Methanothermobacter marburgensis
a0216_CP002916.1_mcrA_product_or_note_1_Thermoplasmatales_archaeon	d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Thermoplasmatales;f__Thermoplasmatales incertae sedis;g__Thermoplasmatales incertae sedis;s__Thermoplasmatales archaeon
a0542_LYOS01000003.1_mcrA_product_or_note_1_Candidatus_Syntropharchaeum_caldarium	d__Archaea;k__Methanobacteriati;p__Halobacteriota;c__Candidatus Syntropharchaeia;o__Candidatus Syntropharchaeales;f__Candidatus Syntropharchaeales incertae sedis;g__Candidatus Syntropharchaeum;s__Candidatus Syntropharchaeum caldarium
a0152_AY354035.1_mcrA_Methanocaldococcus_infernus	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanocaldococcaceae;g__Methanocaldococcus;s__Methanocaldococcus infernus
a0480_KT828542.1_mcrA_Methanosarcina_flavescens	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanosarcina;s__Methanosarcina flavescens
a0852_NZ_JABFFQ010000001.1_mcrA_gene_1_Methanoculleus_nereidis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus nereidis
a0782_NZ_CDUIFO010000062.1_mcrA_gene_1_Methanothrix_soehngenii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix;s__Methanothrix soehngenii
a0334_CP166866.1_mcrA_gene_2_Methanobacterium_nebraskense	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobacterium (mrtA);s__Methanobacterium nebraskense (mrtA)
a0564_MRZU01000004.1_mcrA_product_or_note_1_Methanonatronarchaeum_thermophilum	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanonatronarchaeia;o__Methanonatronarchaeales;f__Methanonatronarchaeaceae;g__Methanonatronarchaeum;s__Methanonatronarchaeum thermophilum
a0033_AB542750.1_mcrA_Methanobacterium_formicicum	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobacterium;s__Methanobacterium formicicum
a0540_LYOR01000007.1_mcrA_product_or_note_2_Candidatus_Syntropharchaeum_butanivorans	d__Archaea;k__Methanobacteriati;p__Halobacteriota;c__Candidatus Syntropharchaeia;o__Candidatus Syntropharchaeales;f__Candidatus Syntropharchaeales incertae sedis;g__Candidatus Syntropharchaeum;s__Candidatus Syntropharchaeum butanivorans
a0378_EU919432.1_mcrA_Methanobrevibacter_woesei	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter woesei
a0189_CP000678.1_mcrA_product_or_note_2_Methanobrevibacter_smithii	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanobacteria;o__Methanobacteriales;f__Methanobacteriaceae;g__Methanobrevibacter;s__Methanobrevibacter smithii
a1262_QENJ01000357.1_mcrA_product_or_note_1_Candidatus_Methanophagaceae_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Candidatus Methanophagales;f__Candidatus Methanophagaceae;g__Candidatus Methanophagaceae incertae sedis;s__Candidatus Methanophagaceae archaeon
a1232_OQ603054.1_mcrA_ANME-1a-b_cluster_archaeon	d__Archaea;k__Archaea;p__Methanobacteriota;c__Methanomicrobia;o__Candidatus Methanophagales;f__ANME-1 cluster;g__ANME-1 cluster;s__ANME-1a-b cluster archaeon
a0187_CP000609.1_mcrA_product_or_note_1_Methanococcus_maripaludis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanococci;o__Methanococcales;f__Methanococcaceae;g__Methanococcus;s__Methanococcus maripaludis
a0037_AB542756.1_mrtA_Methanobacterium_bryantii	d__Archaea (mrtA);k__Methanobacteriati (mrtA);p__Methanobacteriota (mrtA);c__Methanobacteria (mrtA);o__Methanobacteriales (mrtA);f__Methanobacteriaceae (mrtA);g__Methanobacterium (mrtA);s__Methanobacterium bryantii (mrtA)
a1274_QNVA01000056.1_mcrA_gene_1_Archaeoglobi_archaeon	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Archaeoglobi;o__Archaeoglobi incertae sedis;f__Archaeoglobi incertae sedis;g__Archaeoglobi incertae sedis;s__Archaeoglobi archaeon
a1205_NZ_VCYI01000024.1_mcrA_gene_1_Methanoculleus_methanifontis	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanomicrobiaceae;g__Methanoculleus;s__Methanoculleus methanifontis
