seq.id	tax.srd
AB749768.1_s	d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Candidatus Methanogranum;s__Candidatus Methanogranum caenicola
CP076745.1_mcrA_1	d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Candidatus Methanogranum;s__Candidatus Methanogranum gryphiswaldense
MSDW01000001.1_mcrAb_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanonatronarchaeia;o__Methanonatronarchaeales;f__Methanonatronarchaeaceae;g__Candidatus Methanohalarchaeum;s__Candidatus Methanohalarchaeum thermophilum
RXIF01000002.1_mcrA_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Candidatus Methanoliparia;o__Candidatus Methanoliparales;f__Candidatus Methanoliparaceae;g__Candidatus Methanoliparum;s__Candidatus Methanoliparum thermophilum
JMIY01000002.1_mcrAb_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__Candidatus Methanoperedens;s__Candidatus Methanoperedens nitroreducens
FZMP01000185.1_mcrA_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Candidatus Methanoperedenaceae;g__Candidatus Methanoperedens;s__Candidatus Methanoperedens nitroreducens
CP010070.1_mcrA_1	d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomassiliicoccaceae;g__Candidatus Methanoplasma;s__Candidatus Methanoplasma termitum
LVVU01000154.1_mcrAb_1	d__Archaea;k__Methanobacteriati;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Candidatus Methanoprimaticola;s__Candidatus Methanoprimaticola hominis
RXGA01000002.1_mcrAb_1	d__Archaea;k__Thermoproteati;p__Candidatus Methanomethylicota;c__CandidatusMethanomethylicia;o__CandidatusMethanomethylicales;f__Candidatus Methanomethylicaceae;g__Candidatus Methanosuratincola;s__Candidatus Methanosuratincola subterraneus
QNVE01000024.1_mcrA_1	d__Archaea;k__Thermoproteati;p__Candidatus Nezhaarchaeota;c__Candidatus Nezhaarchaeota;o__Candidatus Nezhaarchaeota;f__Candidatus Nezhaarchaeota;g__Candidatus Nezhaarchaeota;s__Candidatus Nezhaarchaeota archaeon
LYOR01000007.1_mcrAb_2	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__Candidatus Syntrophoarchaeum;s__Candidatus Syntrophoarchaeum butanivorans
LYOR01000001.1_mcrAb_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__Candidatus Syntrophoarchaeum;s__Candidatus Syntrophoarchaeum butanivorans
LYOR01000003.1_mcrAb_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__Candidatus Syntrophoarchaeum;s__Candidatus Syntrophoarchaeum butanivorans
LYOR01000007.1_mcrAb_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__Candidatus Syntrophoarchaeum;s__Candidatus Syntrophoarchaeum butanivorans
LYOS01000001.1_mcrAb_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__Candidatus Syntrophoarchaeum;s__Candidatus Syntrophoarchaeum caldarius
LYOS01000002.1_mcrAb_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__Candidatus Syntrophoarchaeum;s__Candidatus Syntrophoarchaeum caldarius
LYOS01000003.1_mcrAb_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__Candidatus Syntrophoarchaeum;s__Candidatus Syntrophoarchaeum caldarius
LYOS01000008.1_mcrAb_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__ANME-2 cluster;g__Candidatus Syntrophoarchaeum;s__Candidatus Syntrophoarchaeum caldarius
QNVI01000061.1_mcrA_1	d__Archaea;k__Thermoproteati;p__Candidatus Methanomethylicota;c__Candidatus Methanomethylicota;o__Candidatus Methanomethylicota;f__Candidatus Methanomethylicota;g__Candidatus Methanomethylicota;s__Candidatus Methanomethylicota archaeon
QNVD01000218.1_mcrAb_1	d__Archaea;k__Methanobacteriati;p__Candidatus Hadarchaeota;c__Candidatus Hadarchaeia;o__Candidatus Hadarchaeia;f__Candidatus Hadarchaeia;g__Candidatus Hadarchaeia;s__Hadesarchaea archaeon
NZ_JAHDUW010000006.1_mcrA_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanimicrococcus;s__Methanimicrococcus blatticola
NZ_JAWDKC010000028.1_mcrA_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanimicrococcus;s__Methanimicrococcus hacksteinii
NZ_CP131059.1_mcrA_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanimicrococcus;s__Methanimicrococcus hongohii
NZ_CP131062.1_mcrA_1	d__Archaea;k__Methanobacteriati;p__Methanobacteriota;c__Methanomicrobia;o__Methanosarcinales;f__Methanosarcinaceae;g__Methanimicrococcus;s__Methanimicrococcus stummii
